instrument_token,exchange_token,tradingsymbol,name,expiry,strike,lot_size,instrument_type
14006786,54714,BANKNIFTY21JAN23100PE,BANKNIFTY,2021-01-28,23100,25,PE
14007042,54715,BANKNIFTY21JAN23200CE,BANKNIFTY,2021-01-28,23200,25,CE
14007810,54718,BANKNIFTY21JAN23200PE,BANKNIFTY,2021-01-28,23200,25,PE
14008066,54719,BANKNIFTY21JAN23300CE,BANKNIFTY,2021-01-28,23300,25,CE
14008322,54720,BANKNIFTY21JAN23300PE,BANKNIFTY,2021-01-28,23300,25,PE
14008578,54721,BANKNIFTY21JAN23400CE,BANKNIFTY,2021-01-28,23400,25,CE
14013954,54742,BANKNIFTY21JAN23400PE,BANKNIFTY,2021-01-28,23400,25,PE
14014210,54743,BANKNIFTY21JAN23500CE,BANKNIFTY,2021-01-28,23500,25,CE
14014466,54744,BANKNIFTY21JAN23500PE,BANKNIFTY,2021-01-28,23500,25,PE
14014722,54745,BANKNIFTY21JAN23600CE,BANKNIFTY,2021-01-28,23600,25,CE
14014978,54746,BANKNIFTY21JAN23600PE,BANKNIFTY,2021-01-28,23600,25,PE
14016258,54751,BANKNIFTY21JAN23700CE,BANKNIFTY,2021-01-28,23700,25,CE
14016514,54752,BANKNIFTY21JAN23700PE,BANKNIFTY,2021-01-28,23700,25,PE
14016770,54753,BANKNIFTY21JAN23800CE,BANKNIFTY,2021-01-28,23800,25,CE
14017026,54754,BANKNIFTY21JAN23800PE,BANKNIFTY,2021-01-28,23800,25,PE
14018306,54759,BANKNIFTY21JAN23900CE,BANKNIFTY,2021-01-28,23900,25,CE
14018562,54760,BANKNIFTY21JAN23900PE,BANKNIFTY,2021-01-28,23900,25,PE
14019842,54765,BANKNIFTY21JAN24000CE,BANKNIFTY,2021-01-28,24000,25,CE
14080514,55002,BANKNIFTY21JAN24000PE,BANKNIFTY,2021-01-28,24000,25,PE
14080770,55003,BANKNIFTY21JAN24100CE,BANKNIFTY,2021-01-28,24100,25,CE
14092546,55049,BANKNIFTY21JAN24100PE,BANKNIFTY,2021-01-28,24100,25,PE
14092802,55050,BANKNIFTY21JAN24200CE,BANKNIFTY,2021-01-28,24200,25,CE
14107394,55107,BANKNIFTY21JAN24200PE,BANKNIFTY,2021-01-28,24200,25,PE
14107650,55108,BANKNIFTY21JAN24300CE,BANKNIFTY,2021-01-28,24300,25,CE
14107906,55109,BANKNIFTY21JAN24300PE,BANKNIFTY,2021-01-28,24300,25,PE
14108162,55110,BANKNIFTY21JAN24400CE,BANKNIFTY,2021-01-28,24400,25,CE
14108418,55111,BANKNIFTY21JAN24400PE,BANKNIFTY,2021-01-28,24400,25,PE
14108674,55112,BANKNIFTY21JAN24500CE,BANKNIFTY,2021-01-28,24500,25,CE
14108930,55113,BANKNIFTY21JAN24500PE,BANKNIFTY,2021-01-28,24500,25,PE
14109186,55114,BANKNIFTY21JAN24600CE,BANKNIFTY,2021-01-28,24600,25,CE
14109442,55115,BANKNIFTY21JAN24600PE,BANKNIFTY,2021-01-28,24600,25,PE
14109698,55116,BANKNIFTY21JAN24700CE,BANKNIFTY,2021-01-28,24700,25,CE
14109954,55117,BANKNIFTY21JAN24700PE,BANKNIFTY,2021-01-28,24700,25,PE
14110210,55118,BANKNIFTY21JAN24800CE,BANKNIFTY,2021-01-28,24800,25,CE
14110466,55119,BANKNIFTY21JAN24800PE,BANKNIFTY,2021-01-28,24800,25,PE
14110722,55120,BANKNIFTY21JAN24900CE,BANKNIFTY,2021-01-28,24900,25,CE
14110978,55121,BANKNIFTY21JAN24900PE,BANKNIFTY,2021-01-28,24900,25,PE
14111234,55122,BANKNIFTY21JAN25000CE,BANKNIFTY,2021-01-28,25000,25,CE
14111490,55123,BANKNIFTY21JAN25000PE,BANKNIFTY,2021-01-28,25000,25,PE
14111746,55124,BANKNIFTY21JAN25100CE,BANKNIFTY,2021-01-28,25100,25,CE
14112002,55125,BANKNIFTY21JAN25100PE,BANKNIFTY,2021-01-28,25100,25,PE
14112258,55126,BANKNIFTY21JAN25200CE,BANKNIFTY,2021-01-28,25200,25,CE
14112514,55127,BANKNIFTY21JAN25200PE,BANKNIFTY,2021-01-28,25200,25,PE
14112770,55128,BANKNIFTY21JAN25300CE,BANKNIFTY,2021-01-28,25300,25,CE
14113026,55129,BANKNIFTY21JAN25300PE,BANKNIFTY,2021-01-28,25300,25,PE
14113282,55130,BANKNIFTY21JAN25400CE,BANKNIFTY,2021-01-28,25400,25,CE
14113538,55131,BANKNIFTY21JAN25400PE,BANKNIFTY,2021-01-28,25400,25,PE
14113794,55132,BANKNIFTY21JAN25500CE,BANKNIFTY,2021-01-28,25500,25,CE
14114050,55133,BANKNIFTY21JAN25500PE,BANKNIFTY,2021-01-28,25500,25,PE
14114306,55134,BANKNIFTY21JAN25600CE,BANKNIFTY,2021-01-28,25600,25,CE
14114562,55135,BANKNIFTY21JAN25600PE,BANKNIFTY,2021-01-28,25600,25,PE
14114818,55136,BANKNIFTY21JAN25700CE,BANKNIFTY,2021-01-28,25700,25,CE
14115074,55137,BANKNIFTY21JAN25700PE,BANKNIFTY,2021-01-28,25700,25,PE
14115330,55138,BANKNIFTY21JAN25800CE,BANKNIFTY,2021-01-28,25800,25,CE
14115586,55139,BANKNIFTY21JAN25800PE,BANKNIFTY,2021-01-28,25800,25,PE
14115842,55140,BANKNIFTY21JAN25900CE,BANKNIFTY,2021-01-28,25900,25,CE
14116098,55141,BANKNIFTY21JAN25900PE,BANKNIFTY,2021-01-28,25900,25,PE
14116354,55142,BANKNIFTY21JAN26000CE,BANKNIFTY,2021-01-28,26000,25,CE
14116610,55143,BANKNIFTY21JAN26000PE,BANKNIFTY,2021-01-28,26000,25,PE
14116866,55144,BANKNIFTY21JAN26100CE,BANKNIFTY,2021-01-28,26100,25,CE
14117122,55145,BANKNIFTY21JAN26100PE,BANKNIFTY,2021-01-28,26100,25,PE
14117378,55146,BANKNIFTY21JAN26200CE,BANKNIFTY,2021-01-28,26200,25,CE
14117634,55147,BANKNIFTY21JAN26200PE,BANKNIFTY,2021-01-28,26200,25,PE
14117890,55148,BANKNIFTY21JAN26300CE,BANKNIFTY,2021-01-28,26300,25,CE
14118146,55149,BANKNIFTY21JAN26300PE,BANKNIFTY,2021-01-28,26300,25,PE
14118914,55152,BANKNIFTY21JAN26400CE,BANKNIFTY,2021-01-28,26400,25,CE
14119170,55153,BANKNIFTY21JAN26400PE,BANKNIFTY,2021-01-28,26400,25,PE
14119426,55154,BANKNIFTY21JAN26500CE,BANKNIFTY,2021-01-28,26500,25,CE
14131970,55203,BANKNIFTY21JAN26500PE,BANKNIFTY,2021-01-28,26500,25,PE
14132226,55204,BANKNIFTY21JAN26600CE,BANKNIFTY,2021-01-28,26600,25,CE
14132482,55205,BANKNIFTY21JAN26600PE,BANKNIFTY,2021-01-28,26600,25,PE
14133250,55208,BANKNIFTY21JAN26700CE,BANKNIFTY,2021-01-28,26700,25,CE
14133506,55209,BANKNIFTY21JAN26700PE,BANKNIFTY,2021-01-28,26700,25,PE
14133762,55210,BANKNIFTY21JAN26800CE,BANKNIFTY,2021-01-28,26800,25,CE
14134018,55211,BANKNIFTY21JAN26800PE,BANKNIFTY,2021-01-28,26800,25,PE
14134274,55212,BANKNIFTY21JAN26900CE,BANKNIFTY,2021-01-28,26900,25,CE
14134530,55213,BANKNIFTY21JAN26900PE,BANKNIFTY,2021-01-28,26900,25,PE
14135042,55215,BANKNIFTY21JAN27000CE,BANKNIFTY,2021-01-28,27000,25,CE
14135810,55218,BANKNIFTY21JAN27000PE,BANKNIFTY,2021-01-28,27000,25,PE
14136066,55219,BANKNIFTY21JAN27100CE,BANKNIFTY,2021-01-28,27100,25,CE
14136578,55221,BANKNIFTY21JAN27100PE,BANKNIFTY,2021-01-28,27100,25,PE
9113602,35600,BANKNIFTY21JAN27200CE,BANKNIFTY,2021-01-28,27200,25,CE
9113858,35601,BANKNIFTY21JAN27200PE,BANKNIFTY,2021-01-28,27200,25,PE
9114114,35602,BANKNIFTY21JAN27300CE,BANKNIFTY,2021-01-28,27300,25,CE
9114370,35603,BANKNIFTY21JAN27300PE,BANKNIFTY,2021-01-28,27300,25,PE
9117442,35615,BANKNIFTY21JAN27400CE,BANKNIFTY,2021-01-28,27400,25,CE
9117698,35616,BANKNIFTY21JAN27400PE,BANKNIFTY,2021-01-28,27400,25,PE
9118722,35620,BANKNIFTY21JAN27500CE,BANKNIFTY,2021-01-28,27500,25,CE
9118978,35621,BANKNIFTY21JAN27500PE,BANKNIFTY,2021-01-28,27500,25,PE
9119234,35622,BANKNIFTY21JAN27600CE,BANKNIFTY,2021-01-28,27600,25,CE
9119490,35623,BANKNIFTY21JAN27600PE,BANKNIFTY,2021-01-28,27600,25,PE
9120258,35626,BANKNIFTY21JAN27700CE,BANKNIFTY,2021-01-28,27700,25,CE
9120514,35627,BANKNIFTY21JAN27700PE,BANKNIFTY,2021-01-28,27700,25,PE
9120770,35628,BANKNIFTY21JAN27800CE,BANKNIFTY,2021-01-28,27800,25,CE
9121026,35629,BANKNIFTY21JAN27800PE,BANKNIFTY,2021-01-28,27800,25,PE
9121282,35630,BANKNIFTY21JAN27900CE,BANKNIFTY,2021-01-28,27900,25,CE
9121538,35631,BANKNIFTY21JAN27900PE,BANKNIFTY,2021-01-28,27900,25,PE
9343234,36497,BANKNIFTY21JAN28000CE,BANKNIFTY,2021-01-28,28000,25,CE
9343490,36498,BANKNIFTY21JAN28000PE,BANKNIFTY,2021-01-28,28000,25,PE
9347586,36514,BANKNIFTY21JAN28100CE,BANKNIFTY,2021-01-28,28100,25,CE
9347842,36515,BANKNIFTY21JAN28100PE,BANKNIFTY,2021-01-28,28100,25,PE
9348098,36516,BANKNIFTY21JAN28200CE,BANKNIFTY,2021-01-28,28200,25,CE
9348354,36517,BANKNIFTY21JAN28200PE,BANKNIFTY,2021-01-28,28200,25,PE
9348610,36518,BANKNIFTY21JAN28300CE,BANKNIFTY,2021-01-28,28300,25,CE
9348866,36519,BANKNIFTY21JAN28300PE,BANKNIFTY,2021-01-28,28300,25,PE
9350402,36525,BANKNIFTY21JAN28400CE,BANKNIFTY,2021-01-28,28400,25,CE
9350658,36526,BANKNIFTY21JAN28400PE,BANKNIFTY,2021-01-28,28400,25,PE
9352194,36532,BANKNIFTY21JAN28500CE,BANKNIFTY,2021-01-28,28500,25,CE
9352450,36533,BANKNIFTY21JAN28500PE,BANKNIFTY,2021-01-28,28500,25,PE
9353986,36539,BANKNIFTY21JAN28600CE,BANKNIFTY,2021-01-28,28600,25,CE
9354242,36540,BANKNIFTY21JAN28600PE,BANKNIFTY,2021-01-28,28600,25,PE
9354498,36541,BANKNIFTY21JAN28700CE,BANKNIFTY,2021-01-28,28700,25,CE
9354754,36542,BANKNIFTY21JAN28700PE,BANKNIFTY,2021-01-28,28700,25,PE
9516290,37173,BANKNIFTY21JAN28800CE,BANKNIFTY,2021-01-28,28800,25,CE
9517058,37176,BANKNIFTY21JAN28800PE,BANKNIFTY,2021-01-28,28800,25,PE
9836290,38423,BANKNIFTY21JAN28900CE,BANKNIFTY,2021-01-28,28900,25,CE
9836546,38424,BANKNIFTY21JAN28900PE,BANKNIFTY,2021-01-28,28900,25,PE
9836802,38425,BANKNIFTY21JAN29000CE,BANKNIFTY,2021-01-28,29000,25,CE
9837058,38426,BANKNIFTY21JAN29000PE,BANKNIFTY,2021-01-28,29000,25,PE
9837314,38427,BANKNIFTY21JAN29100CE,BANKNIFTY,2021-01-28,29100,25,CE
9837570,38428,BANKNIFTY21JAN29100PE,BANKNIFTY,2021-01-28,29100,25,PE
9839362,38435,BANKNIFTY21JAN29200CE,BANKNIFTY,2021-01-28,29200,25,CE
9839618,38436,BANKNIFTY21JAN29200PE,BANKNIFTY,2021-01-28,29200,25,PE
9839874,38437,BANKNIFTY21JAN29300CE,BANKNIFTY,2021-01-28,29300,25,CE
9840130,38438,BANKNIFTY21JAN29300PE,BANKNIFTY,2021-01-28,29300,25,PE
10211842,39890,BANKNIFTY21JAN29400CE,BANKNIFTY,2021-01-28,29400,25,CE
10212098,39891,BANKNIFTY21JAN29400PE,BANKNIFTY,2021-01-28,29400,25,PE
10212354,39892,BANKNIFTY21JAN29500CE,BANKNIFTY,2021-01-28,29500,25,CE
10212610,39893,BANKNIFTY21JAN29500PE,BANKNIFTY,2021-01-28,29500,25,PE
10212866,39894,BANKNIFTY21JAN29600CE,BANKNIFTY,2021-01-28,29600,25,CE
10213634,39897,BANKNIFTY21JAN29600PE,BANKNIFTY,2021-01-28,29600,25,PE
10213890,39898,BANKNIFTY21JAN29700CE,BANKNIFTY,2021-01-28,29700,25,CE
10214146,39899,BANKNIFTY21JAN29700PE,BANKNIFTY,2021-01-28,29700,25,PE
10214402,39900,BANKNIFTY21JAN29800CE,BANKNIFTY,2021-01-28,29800,25,CE
10214658,39901,BANKNIFTY21JAN29800PE,BANKNIFTY,2021-01-28,29800,25,PE
10537730,41163,BANKNIFTY21JAN29900CE,BANKNIFTY,2021-01-28,29900,25,CE
10537986,41164,BANKNIFTY21JAN29900PE,BANKNIFTY,2021-01-28,29900,25,PE
10543618,41186,BANKNIFTY21JAN30000CE,BANKNIFTY,2021-01-28,30000,25,CE
10543874,41187,BANKNIFTY21JAN30000PE,BANKNIFTY,2021-01-28,30000,25,PE
10544130,41188,BANKNIFTY21JAN30100CE,BANKNIFTY,2021-01-28,30100,25,CE
10545410,41193,BANKNIFTY21JAN30100PE,BANKNIFTY,2021-01-28,30100,25,PE
10545666,41194,BANKNIFTY21JAN30200CE,BANKNIFTY,2021-01-28,30200,25,CE
10545922,41195,BANKNIFTY21JAN30200PE,BANKNIFTY,2021-01-28,30200,25,PE
10549762,41210,BANKNIFTY21JAN30300CE,BANKNIFTY,2021-01-28,30300,25,CE
10550018,41211,BANKNIFTY21JAN30300PE,BANKNIFTY,2021-01-28,30300,25,PE
10550274,41212,BANKNIFTY21JAN30400CE,BANKNIFTY,2021-01-28,30400,25,CE
10550530,41213,BANKNIFTY21JAN30400PE,BANKNIFTY,2021-01-28,30400,25,PE
10552322,41220,BANKNIFTY21JAN30500CE,BANKNIFTY,2021-01-28,30500,25,CE
10552578,41221,BANKNIFTY21JAN30500PE,BANKNIFTY,2021-01-28,30500,25,PE
11035906,43109,BANKNIFTY21JAN30600CE,BANKNIFTY,2021-01-28,30600,25,CE
11036162,43110,BANKNIFTY21JAN30600PE,BANKNIFTY,2021-01-28,30600,25,PE
11036418,43111,BANKNIFTY21JAN30700CE,BANKNIFTY,2021-01-28,30700,25,CE
11036674,43112,BANKNIFTY21JAN30700PE,BANKNIFTY,2021-01-28,30700,25,PE
11038466,43119,BANKNIFTY21JAN30800CE,BANKNIFTY,2021-01-28,30800,25,CE
11039746,43124,BANKNIFTY21JAN30800PE,BANKNIFTY,2021-01-28,30800,25,PE
11040002,43125,BANKNIFTY21JAN30900CE,BANKNIFTY,2021-01-28,30900,25,CE
11040258,43126,BANKNIFTY21JAN30900PE,BANKNIFTY,2021-01-28,30900,25,PE
11040514,43127,BANKNIFTY21JAN31000CE,BANKNIFTY,2021-01-28,31000,25,CE
11040770,43128,BANKNIFTY21JAN31000PE,BANKNIFTY,2021-01-28,31000,25,PE
11041538,43131,BANKNIFTY21JAN31100CE,BANKNIFTY,2021-01-28,31100,25,CE
11042818,43136,BANKNIFTY21JAN31100PE,BANKNIFTY,2021-01-28,31100,25,PE
11043586,43139,BANKNIFTY21JAN31200CE,BANKNIFTY,2021-01-28,31200,25,CE
11043842,43140,BANKNIFTY21JAN31200PE,BANKNIFTY,2021-01-28,31200,25,PE
11044354,43142,BANKNIFTY21JAN31300CE,BANKNIFTY,2021-01-28,31300,25,CE
11044610,43143,BANKNIFTY21JAN31300PE,BANKNIFTY,2021-01-28,31300,25,PE
11048194,43157,BANKNIFTY21JAN31400CE,BANKNIFTY,2021-01-28,31400,25,CE
11048450,43158,BANKNIFTY21JAN31400PE,BANKNIFTY,2021-01-28,31400,25,PE
11050498,43166,BANKNIFTY21JAN31500CE,BANKNIFTY,2021-01-28,31500,25,CE
11050754,43167,BANKNIFTY21JAN31500PE,BANKNIFTY,2021-01-28,31500,25,PE
11051266,43169,BANKNIFTY21JAN31600CE,BANKNIFTY,2021-01-28,31600,25,CE
11051522,43170,BANKNIFTY21JAN31600PE,BANKNIFTY,2021-01-28,31600,25,PE
11568386,45189,BANKNIFTY21JAN31700CE,BANKNIFTY,2021-01-28,31700,25,CE
11568642,45190,BANKNIFTY21JAN31700PE,BANKNIFTY,2021-01-28,31700,25,PE
11569154,45192,BANKNIFTY21JAN31800CE,BANKNIFTY,2021-01-28,31800,25,CE
11569410,45193,BANKNIFTY21JAN31800PE,BANKNIFTY,2021-01-28,31800,25,PE
13020674,50862,BANKNIFTY21JAN31900CE,BANKNIFTY,2021-01-28,31900,25,CE
13020930,50863,BANKNIFTY21JAN31900PE,BANKNIFTY,2021-01-28,31900,25,PE
13021186,50864,BANKNIFTY21JAN32000CE,BANKNIFTY,2021-01-28,32000,25,CE
13021698,50866,BANKNIFTY21JAN32000PE,BANKNIFTY,2021-01-28,32000,25,PE
13021954,50867,BANKNIFTY21JAN32100CE,BANKNIFTY,2021-01-28,32100,25,CE
13022210,50868,BANKNIFTY21JAN32100PE,BANKNIFTY,2021-01-28,32100,25,PE
13022466,50869,BANKNIFTY21JAN32200CE,BANKNIFTY,2021-01-28,32200,25,CE
13022722,50870,BANKNIFTY21JAN32200PE,BANKNIFTY,2021-01-28,32200,25,PE
13606914,53152,BANKNIFTY21JAN32300CE,BANKNIFTY,2021-01-28,32300,25,CE
13607170,53153,BANKNIFTY21JAN32300PE,BANKNIFTY,2021-01-28,32300,25,PE
13607682,53155,BANKNIFTY21JAN32400CE,BANKNIFTY,2021-01-28,32400,25,CE
13607938,53156,BANKNIFTY21JAN32400PE,BANKNIFTY,2021-01-28,32400,25,PE
13608194,53157,BANKNIFTY21JAN32500CE,BANKNIFTY,2021-01-28,32500,25,CE
13615106,53184,BANKNIFTY21JAN32500PE,BANKNIFTY,2021-01-28,32500,25,PE
13615362,53185,BANKNIFTY21JAN32600CE,BANKNIFTY,2021-01-28,32600,25,CE
13618434,53197,BANKNIFTY21JAN32600PE,BANKNIFTY,2021-01-28,32600,25,PE
13618690,53198,BANKNIFTY21JAN32700CE,BANKNIFTY,2021-01-28,32700,25,CE
13620226,53204,BANKNIFTY21JAN32700PE,BANKNIFTY,2021-01-28,32700,25,PE
9523714,37202,BANKNIFTY21JAN32800CE,BANKNIFTY,2021-01-28,32800,25,CE
9523970,37203,BANKNIFTY21JAN32800PE,BANKNIFTY,2021-01-28,32800,25,PE
9506050,37133,BANKNIFTY21JAN32900CE,BANKNIFTY,2021-01-28,32900,25,CE
9506306,37134,BANKNIFTY21JAN32900PE,BANKNIFTY,2021-01-28,32900,25,PE
9507330,37138,BANKNIFTY21JAN33000CE,BANKNIFTY,2021-01-28,33000,25,CE
9507586,37139,BANKNIFTY21JAN33000PE,BANKNIFTY,2021-01-28,33000,25,PE
9507842,37140,BANKNIFTY21JAN33100CE,BANKNIFTY,2021-01-28,33100,25,CE
9508098,37141,BANKNIFTY21JAN33100PE,BANKNIFTY,2021-01-28,33100,25,PE
10683906,41734,BANKNIFTY21JAN33200CE,BANKNIFTY,2021-01-28,33200,25,CE
10684162,41735,BANKNIFTY21JAN33200PE,BANKNIFTY,2021-01-28,33200,25,PE
10987778,42921,BANKNIFTY21JAN33300CE,BANKNIFTY,2021-01-28,33300,25,CE
10988034,42922,BANKNIFTY21JAN33300PE,BANKNIFTY,2021-01-28,33300,25,PE
11246082,43930,BANKNIFTY21JAN33400CE,BANKNIFTY,2021-01-28,33400,25,CE
11249666,43944,BANKNIFTY21JAN33400PE,BANKNIFTY,2021-01-28,33400,25,PE
11250946,43949,BANKNIFTY21JAN33500CE,BANKNIFTY,2021-01-28,33500,25,CE
11251202,43950,BANKNIFTY21JAN33500PE,BANKNIFTY,2021-01-28,33500,25,PE
11251458,43951,BANKNIFTY21JAN33600CE,BANKNIFTY,2021-01-28,33600,25,CE
11251714,43952,BANKNIFTY21JAN33600PE,BANKNIFTY,2021-01-28,33600,25,PE
11252482,43955,BANKNIFTY21JAN33700CE,BANKNIFTY,2021-01-28,33700,25,CE
11254786,43964,BANKNIFTY21JAN33700PE,BANKNIFTY,2021-01-28,33700,25,PE
12121346,47349,BANKNIFTY21JAN33800CE,BANKNIFTY,2021-01-28,33800,25,CE
12121602,47350,BANKNIFTY21JAN33800PE,BANKNIFTY,2021-01-28,33800,25,PE
9264642,36190,BANKNIFTY21JAN33900CE,BANKNIFTY,2021-01-28,33900,25,CE
9264898,36191,BANKNIFTY21JAN33900PE,BANKNIFTY,2021-01-28,33900,25,PE
11894018,46461,BANKNIFTY21JAN34000CE,BANKNIFTY,2021-01-28,34000,25,CE
11894530,46463,BANKNIFTY21JAN34000PE,BANKNIFTY,2021-01-28,34000,25,PE
11895298,46466,BANKNIFTY21JAN34100CE,BANKNIFTY,2021-01-28,34100,25,CE
11895810,46468,BANKNIFTY21JAN34100PE,BANKNIFTY,2021-01-28,34100,25,PE
11896066,46469,BANKNIFTY21JAN34200CE,BANKNIFTY,2021-01-28,34200,25,CE
11897346,46474,BANKNIFTY21JAN34200PE,BANKNIFTY,2021-01-28,34200,25,PE
11898114,46477,BANKNIFTY21JAN34300CE,BANKNIFTY,2021-01-28,34300,25,CE
11898370,46478,BANKNIFTY21JAN34300PE,BANKNIFTY,2021-01-28,34300,25,PE
9743874,38062,BANKNIFTY2110723300CE,BANKNIFTY,2021-01-07,23300,25,CE
9744130,38063,BANKNIFTY2110723300PE,BANKNIFTY,2021-01-07,23300,25,PE
9744386,38064,BANKNIFTY2110723400CE,BANKNIFTY,2021-01-07,23400,25,CE
9745154,38067,BANKNIFTY2110723400PE,BANKNIFTY,2021-01-07,23400,25,PE
9746946,38074,BANKNIFTY2110723500CE,BANKNIFTY,2021-01-07,23500,25,CE
9747202,38075,BANKNIFTY2110723500PE,BANKNIFTY,2021-01-07,23500,25,PE
9747714,38077,BANKNIFTY2110723600CE,BANKNIFTY,2021-01-07,23600,25,CE
9747970,38078,BANKNIFTY2110723600PE,BANKNIFTY,2021-01-07,23600,25,PE
9750018,38086,BANKNIFTY2110723700CE,BANKNIFTY,2021-01-07,23700,25,CE
9750274,38087,BANKNIFTY2110723700PE,BANKNIFTY,2021-01-07,23700,25,PE
9751554,38092,BANKNIFTY2110723800CE,BANKNIFTY,2021-01-07,23800,25,CE
9751810,38093,BANKNIFTY2110723800PE,BANKNIFTY,2021-01-07,23800,25,PE
9753346,38099,BANKNIFTY2110723900CE,BANKNIFTY,2021-01-07,23900,25,CE
9753602,38100,BANKNIFTY2110723900PE,BANKNIFTY,2021-01-07,23900,25,PE
9753858,38101,BANKNIFTY2110724000CE,BANKNIFTY,2021-01-07,24000,25,CE
9754114,38102,BANKNIFTY2110724000PE,BANKNIFTY,2021-01-07,24000,25,PE
9755394,38107,BANKNIFTY2110724100CE,BANKNIFTY,2021-01-07,24100,25,CE
9755650,38108,BANKNIFTY2110724100PE,BANKNIFTY,2021-01-07,24100,25,PE
9756162,38110,BANKNIFTY2110724200CE,BANKNIFTY,2021-01-07,24200,25,CE
9756418,38111,BANKNIFTY2110724200PE,BANKNIFTY,2021-01-07,24200,25,PE
